platform,has_profile_pic,bio_length,username_randomness,followers,following,follower_following_ratio,account_age_days,posts,posts_per_day,caption_similarity_score,content_similarity_score,follow_unfollow_rate,spam_comments_rate,generic_comment_rate,suspicious_links_in_bio,verified,is_fake
Instagram,0,147,0,354,659,0.536363636,3377,192,0.056838366,0.168569845,0.944608197,328,190,72,1,0,1
Facebook,0,99,0,397,689,0.575362319,517,187,0.361003861,0.629749163,0.547579496,357,95,113,0,1,1
Twitter,1,162,1,404,684,0.589781022,835,208,0.248803828,0.445045578,0.502790454,384,9,144,1,0,1
Twitter,1,159,1,418,702,0.594594595,624,232,0.3712,0.171124752,0.290834827,253,153,40,0,0,1
Instagram,1,121,0,405,720,0.561719834,1048,218,0.207816969,0.411938947,0.003389495,410,146,81,1,0,1
Instagram,0,175,0,429,686,0.624454148,1565,203,0.12962963,0.232708808,0.061243192,322,60,76,0,0,1
Facebook,1,43,0,406,715,0.567039106,3983,201,0.050451807,0.65309678,0.263008458,166,76,27,1,1,1
Facebook,0,103,0,400,692,0.577200577,497,176,0.353413655,0.295143374,0.541546259,200,117,109,1,0,1
Twitter,0,151,0,427,694,0.614388489,2430,198,0.081447964,0.82201735,0.083580317,167,161,20,1,1,1
Twitter,0,60,1,393,697,0.563037249,2264,195,0.086092715,0.014163205,0.972052009,283,83,129,1,0,1
Instagram,1,124,0,396,723,0.546961326,543,214,0.393382353,0.403417977,0.410960783,468,171,5,1,0,1
Twitter,0,144,0,395,694,0.568345324,916,186,0.202835333,0.617080456,0.316317474,347,17,51,1,0,1
Facebook,1,70,0,381,646,0.588871716,1802,210,0.116472546,0.022608284,0.52519648,492,120,4,0,0,1
Facebook,1,106,1,402,636,0.631083203,3083,200,0.064850843,0.215841903,0.064986592,407,111,42,1,0,1
Instagram,0,49,1,412,709,0.58028169,82,196,2.361445783,0.32741996,0.850450674,337,71,95,0,1,1
Facebook,0,64,0,385,719,0.534722222,1180,210,0.177815411,0.021844555,0.460277135,50,143,100,1,0,1
Facebook,1,98,1,416,667,0.622754491,166,185,1.107784431,0.546690705,0.178335411,55,103,113,0,0,1
Facebook,0,31,1,419,701,0.596866097,2256,191,0.084625609,0.630868389,0.161734429,72,76,39,1,0,1
Facebook,1,163,1,410,712,0.575035063,2072,180,0.08683068,0.227522252,0.360954354,281,25,138,0,1,1
Instagram,0,140,1,440,701,0.626780627,807,191,0.236386139,0.543482727,0.573362813,87,192,141,0,0,1
Instagram,1,197,1,384,701,0.547008547,2739,218,0.079562044,0.999126889,0.416905858,51,193,1,1,1,1
Twitter,1,57,1,416,698,0.595135908,332,212,0.636636637,0.886919288,0.596797338,124,102,62,1,0,1
Facebook,1,127,0,379,707,0.535310734,3591,208,0.057906459,0.058660832,0.705477745,261,154,118,1,1,1
Twitter,1,141,1,411,698,0.587982833,1535,196,0.127604167,0.127882464,0.748488762,442,3,145,1,1,1
Instagram,0,164,1,400,698,0.572246066,181,202,1.10989011,0.494403321,0.40095556,372,50,93,0,1,1
Instagram,0,111,0,404,714,0.565034965,1317,181,0.137329287,0.245201115,0.717003312,267,130,78,1,1,1
Instagram,1,206,0,380,771,0.492227979,1107,206,0.185920578,0.080969237,0.141504353,62,86,128,1,0,1
Instagram,1,238,0,385,702,0.547652916,1590,232,0.145820239,0.254554493,0.5130962,35,65,144,0,1,1
Instagram,0,67,0,400,746,0.535475234,2487,192,0.077170418,0.061178098,0.072514717,8,143,53,1,0,1
Instagram,0,39,1,362,668,0.541106129,2591,192,0.074074074,0.529912442,0.24410563,329,27,121,1,1,1
Instagram,0,186,1,426,712,0.597475456,2241,201,0.089652096,0.490250104,0.583186689,322,43,123,0,1,1
Facebook,0,207,1,401,733,0.546321526,488,179,0.36605317,0.006326154,0.740420686,240,145,65,1,1,1
Twitter,0,219,1,380,761,0.498687664,612,213,0.347471452,0.482516396,0.095309363,284,1,142,1,1,1
Instagram,0,143,0,386,712,0.541374474,3421,209,0.061075395,0.519805147,0.207069847,326,171,21,0,1,1
Facebook,1,189,1,366,652,0.560490046,3195,196,0.061326658,0.605703741,0.991898215,89,147,19,1,0,1
Facebook,0,131,1,370,660,0.559757943,1398,238,0.170121515,0.970099724,0.337657643,263,55,92,1,1,1
Twitter,0,172,0,388,703,0.551136364,1457,197,0.135116598,0.982692427,0.284040767,298,119,42,1,0,1
Instagram,1,89,1,399,733,0.54359673,2194,195,0.088838269,0.526929311,0.085257092,204,103,20,0,1,1
Twitter,0,27,1,408,715,0.569832402,3075,169,0.054941482,0.845186698,0.694842765,290,150,47,1,1,1
Instagram,0,95,1,406,686,0.590975255,1338,197,0.14712472,0.08516577,0.508253384,210,117,65,0,1,1
Facebook,0,236,1,393,688,0.570391872,4423,214,0.048372514,0.531154622,0.157550878,365,59,114,0,1,1
Facebook,0,193,0,426,706,0.602545969,2201,199,0.090372389,0.678900059,0.632898234,277,198,15,1,0,1
Facebook,0,30,0,402,727,0.552197802,4498,206,0.045787953,0.56472882,0.525760357,463,172,20,0,1,1
Facebook,1,2,0,377,716,0.525801953,2868,188,0.065528059,0.230720994,0.564945298,206,46,100,1,0,1
Twitter,0,245,0,413,718,0.574408901,4584,164,0.035768811,0.062657986,0.994854806,321,77,7,1,0,1
Instagram,1,135,0,375,720,0.520110957,3883,191,0.049176107,0.386669285,0.028612728,357,164,109,1,0,1
Instagram,1,23,1,391,669,0.58358209,2115,189,0.089319471,0.647642498,0.914972161,404,135,85,0,0,1
Twitter,0,14,1,426,697,0.610315186,2137,201,0.094013096,0.991713074,0.841890762,93,132,57,1,0,1
Instagram,1,170,0,366,717,0.509749304,79,219,2.7375,0.236533451,0.415342825,198,22,4,0,0,1
Facebook,0,158,0,398,699,0.568571429,378,193,0.509234828,0.91778991,0.880946354,350,104,110,0,1,1
Instagram,1,200,0,375,717,0.522284123,165,195,1.174698795,0.0682614,0.648561242,168,9,108,0,0,1
Facebook,1,230,1,384,722,0.531120332,4845,207,0.042715642,0.930989274,0.889354517,296,112,29,1,0,1
Twitter,0,44,0,368,699,0.525714286,1721,203,0.117886179,0.832366768,0.594730882,432,26,94,0,0,1
Instagram,0,193,1,370,720,0.513176144,2985,186,0.06229069,0.020945353,0.216149239,226,98,8,0,0,1
Twitter,0,7,1,438,662,0.660633484,155,228,1.461538462,0.298185374,0.576221384,3,0,94,0,0,1
Instagram,0,70,1,407,722,0.562932227,1147,207,0.180313589,0.050956654,0.179062248,97,70,94,0,0,1
Facebook,0,247,1,438,715,0.611731844,1064,181,0.169953052,0.995505872,0.140827928,192,114,40,0,1,1
Twitter,1,107,0,351,750,0.467376831,2217,192,0.086564472,0.427844005,0.654061232,265,135,50,0,1,1
Instagram,1,114,1,365,709,0.514084507,2840,185,0.065117916,0.66217352,0.947476617,349,138,60,1,0,1
Facebook,1,102,1,410,705,0.580736544,1464,195,0.133105802,0.234190575,0.588495979,223,126,5,0,0,1
Twitter,1,233,0,393,708,0.554301834,3471,202,0.058179724,0.933736239,0.795787633,66,115,118,1,1,1
Twitter,1,124,1,384,706,0.543140028,1517,191,0.125823452,0.274174089,0.168364363,137,155,25,1,0,1
Instagram,1,56,1,420,744,0.563758389,3051,218,0.071428571,0.260214607,0.654210366,328,33,5,1,1,1
Instagram,1,207,1,405,653,0.619266055,4424,178,0.040225989,0.314600096,0.732977471,400,170,52,0,1,1
Instagram,0,226,0,383,679,0.563235294,1527,194,0.126963351,0.462489165,0.041614521,238,155,60,1,1,1
Facebook,0,29,1,397,697,0.568767908,3611,194,0.053709856,0.018532726,0.097164317,450,176,93,1,0,1
Instagram,1,201,1,405,745,0.542895442,2393,204,0.085213033,0.5978375,0.781580881,474,188,39,0,1,1
Twitter,1,229,0,388,679,0.570588235,789,187,0.236708861,0.031665797,0.439950021,308,164,23,0,1,1
Twitter,0,145,0,410,711,0.575842697,2549,213,0.083529412,0.539202488,0.405581003,418,130,91,1,0,1
Instagram,0,113,1,398,675,0.588757396,4658,178,0.038205624,0.457884902,0.920369597,3,8,44,1,0,1
Instagram,0,196,1,380,762,0.498034076,4609,209,0.045336226,0.242547058,0.991965824,323,88,37,1,1,1
Twitter,0,116,0,425,674,0.62962963,516,205,0.396518375,0.329768017,0.764384537,368,129,107,0,0,1
Facebook,1,220,1,363,707,0.512711864,3063,209,0.068211488,0.705659811,0.792593774,351,22,135,0,0,1
Instagram,0,166,0,405,683,0.592105263,4763,193,0.040512175,0.00959752,0.208320998,101,178,63,0,1,1
Instagram,1,59,1,416,744,0.558389262,1568,187,0.119184194,0.316647138,0.192225442,394,144,86,1,0,1
Twitter,1,97,0,431,695,0.619252874,1449,223,0.153793103,0.680297254,0.980682815,43,152,106,0,1,1
Instagram,1,170,1,382,713,0.535014006,967,196,0.202479339,0.152273865,0.695091719,118,154,50,0,0,1
Facebook,0,125,0,410,693,0.590778098,364,205,0.561643836,0.560385654,0.686709798,187,19,5,0,1,1
Twitter,0,172,0,358,678,0.52724595,108,176,1.614678899,0.168932928,0.286187971,230,72,84,1,0,1
Instagram,1,150,0,404,715,0.56424581,3095,211,0.068152455,0.154761877,0.886479351,492,163,35,0,1,1
Twitter,1,196,0,401,723,0.553867403,623,215,0.344551282,0.772280096,0.044440397,453,155,88,1,0,1
Instagram,1,93,0,380,722,0.525587828,4417,206,0.046627433,0.266525353,0.274590356,189,28,98,1,1,1
Instagram,0,133,1,408,698,0.583690987,510,205,0.401174168,0.375769119,0.180141324,482,119,146,0,0,1
Instagram,1,183,1,425,710,0.597749648,1065,193,0.181050657,0.730018066,0.711096079,109,169,36,0,0,1
Facebook,0,121,0,432,711,0.606741573,3866,174,0.044996121,0.179519601,0.71534999,415,57,16,0,1,1
Facebook,1,237,1,417,705,0.590651558,304,201,0.659016393,0.531737021,0.534731488,301,117,15,1,0,1
Twitter,1,107,1,386,705,0.54674221,969,200,0.206185567,0.917819664,0.005259552,278,31,48,1,1,1
Instagram,1,3,1,413,690,0.597684515,1439,196,0.136111111,0.553826819,0.873755322,105,139,93,1,0,1
Instagram,0,92,1,413,725,0.568870523,3522,219,0.062162929,0.048845767,0.955587133,164,157,50,1,0,1
Facebook,0,150,1,440,769,0.571428571,3872,204,0.052672347,0.589697275,0.202312455,125,59,4,0,1,1
Instagram,1,5,1,412,720,0.571428571,3501,198,0.056539121,0.0901534,0.842232727,345,138,96,0,0,1
Facebook,0,31,0,448,699,0.64,2200,175,0.079509314,0.28212454,0.973286452,97,100,72,1,1,1
Instagram,1,105,1,400,684,0.583941606,4355,174,0.039944904,0.849675105,0.326974123,485,138,144,1,0,1
Twitter,0,145,1,384,701,0.547008547,3902,212,0.054317192,0.011069128,0.185056829,330,111,139,1,1,1
Instagram,0,14,1,385,644,0.596899225,2271,205,0.090228873,0.077013309,0.977540052,369,110,55,1,0,1
Instagram,0,167,0,397,755,0.525132275,230,213,0.922077922,0.363364129,0.059743292,441,79,121,0,0,1
Facebook,1,121,1,397,702,0.564722617,2487,209,0.084003215,0.99939588,0.275960642,119,98,125,0,1,1
Instagram,0,95,1,388,691,0.560693642,150,164,1.086092715,0.291863906,0.742029267,340,177,78,0,0,1
Instagram,0,200,1,353,718,0.490959666,910,185,0.203073546,0.157274619,0.617353482,298,0,15,0,0,1
Facebook,1,228,0,405,717,0.564066852,3529,197,0.055807365,0.549422133,0.684510713,343,88,125,1,1,1
Twitter,1,201,1,378,718,0.525730181,978,199,0.203268641,0.519255022,0.70809154,142,112,86,1,0,1
Twitter,1,211,0,415,670,0.618479881,635,196,0.308176101,0.449619588,0.686144224,194,26,21,0,1,1
Facebook,1,5,1,446,738,0.603518268,4718,218,0.046196228,0.946653752,0.342241237,129,115,109,0,0,1
Facebook,0,111,0,390,725,0.537190083,2191,217,0.09899635,0.280149371,0.311500227,454,31,94,0,0,1
Facebook,0,119,0,401,698,0.573676681,4150,182,0.043844857,0.293324229,0.428466545,388,5,42,0,1,1
Facebook,0,122,0,372,706,0.526166902,4940,187,0.03784659,0.140256971,0.807683576,436,40,78,0,1,1
Facebook,0,190,1,417,683,0.609649123,3475,173,0.04976985,0.697288018,0.938271035,428,163,20,0,0,1
Twitter,0,66,0,396,694,0.569784173,3781,181,0.047858276,0.321369471,0.455246107,103,166,122,1,1,1
Twitter,1,105,0,382,697,0.547277937,1866,218,0.116764863,0.802740293,0.085766137,92,86,7,1,0,1
Facebook,0,138,0,387,677,0.57079646,299,211,0.703333333,0.971757877,0.938298532,296,157,48,0,0,1
Instagram,0,42,0,385,717,0.536211699,2740,214,0.078073696,0.043685242,0.080428209,446,56,124,0,1,1
Facebook,0,144,1,381,724,0.525517241,3726,213,0.057150523,0.99312189,0.159109607,479,138,105,1,1,1
Instagram,1,95,1,408,746,0.546184739,3392,229,0.067491895,0.254104226,0.867678013,221,89,133,1,1,1
Facebook,1,131,1,396,685,0.577259475,4541,198,0.043593131,0.420110357,0.551478541,199,130,80,0,1,1
Facebook,0,190,1,399,675,0.590236686,98,215,2.171717172,0.777743354,0.352686198,287,47,103,1,0,1
Twitter,1,195,0,419,734,0.570068027,3198,185,0.057830572,0.665331142,0.930909687,361,133,108,1,0,1
Instagram,1,80,1,374,693,0.538904899,2106,214,0.101566208,0.778436921,0.960506389,257,6,124,1,1,1
Instagram,1,40,0,432,731,0.590163934,4273,199,0.046560599,0.466332016,0.330762694,9,43,91,1,0,1
Twitter,1,210,1,425,738,0.575101488,4815,215,0.044642857,0.916067079,0.868424144,170,60,120,1,1,1
Twitter,1,132,1,401,702,0.570412518,3523,217,0.061577753,0.789940805,0.678528852,374,181,110,1,0,1
Twitter,1,159,1,425,679,0.625,4419,186,0.042081448,0.309227975,0.274491373,426,178,22,1,1,1
Twitter,1,213,0,384,696,0.550932568,846,191,0.225501771,0.948480221,0.941432681,100,85,109,1,0,1
Instagram,0,247,1,376,699,0.537142857,4186,169,0.040363028,0.961054193,0.063069113,109,47,74,1,0,1
Instagram,0,197,1,380,694,0.54676259,4227,214,0.050614948,0.415053556,0.317942299,246,60,61,1,1,1
Facebook,1,34,1,434,694,0.624460432,3882,188,0.048416173,0.651960488,0.396261611,322,96,95,0,0,1
Facebook,0,21,0,370,733,0.504087193,1053,201,0.190702087,0.814768535,0.690653218,243,167,56,0,1,1
Twitter,0,192,1,393,707,0.555084746,3849,198,0.051428571,0.817300717,0.038433026,22,130,101,1,1,1
Twitter,1,211,1,396,717,0.551532033,3616,205,0.056676804,0.014123545,0.889776902,353,157,69,0,0,1
Twitter,0,149,0,398,665,0.597597598,3158,184,0.05824628,0.629013633,0.659102943,465,151,64,0,0,1
Facebook,1,111,0,377,655,0.574695122,2106,196,0.093023256,0.973699297,0.275022831,224,194,36,1,0,1
Facebook,1,246,1,420,648,0.647149461,994,203,0.204020101,0.231347148,0.658342094,352,1,67,0,1,1
Facebook,1,10,1,419,712,0.587657784,3097,185,0.059715946,0.795608859,0.53692392,443,43,74,1,0,1
Facebook,0,204,1,381,690,0.551374819,190,203,1.062827225,0.534247621,0.336275762,464,167,16,0,0,1
Facebook,0,233,0,408,696,0.585365854,2124,201,0.094588235,0.221470211,0.02859647,261,18,134,0,1,1
Facebook,0,2,0,418,740,0.564102564,2419,207,0.08553719,0.051037974,0.551100676,268,190,51,0,0,1
Facebook,0,136,0,419,730,0.573187415,4995,189,0.037830264,0.759921711,0.082181515,20,151,129,1,0,1
Twitter,1,59,1,410,722,0.567081604,2899,204,0.070344828,0.31647035,0.810176356,478,49,36,0,0,1
Twitter,1,75,0,404,700,0.576319544,4602,204,0.044318922,0.375586028,0.088525652,313,19,56,1,0,1
Twitter,0,86,1,408,730,0.558139535,1967,213,0.108231707,0.485231053,0.428739275,119,56,100,0,0,1
Twitter,1,13,0,379,694,0.545323741,4279,204,0.047663551,0.507194903,0.434551792,468,112,9,0,0,1
Facebook,1,224,0,383,688,0.555878084,4250,200,0.047047753,0.206185577,0.556201662,480,49,80,1,1,1
Instagram,0,17,0,392,676,0.579025111,3412,203,0.059478465,0.67064199,0.03950789,411,94,89,0,0,1
Facebook,1,112,1,393,711,0.551966292,3947,198,0.050151976,0.69253998,0.203832448,119,104,132,1,0,1
Instagram,0,232,1,395,701,0.562678063,1047,200,0.190839695,0.142300924,0.199501184,197,185,132,1,0,1
Twitter,1,72,1,392,670,0.584202683,2574,198,0.076893204,0.53290954,0.598970615,135,158,119,1,1,1
Facebook,0,22,1,439,683,0.641812865,606,194,0.319604613,0.609259348,0.263635533,76,164,101,1,1,1
Twitter,1,201,0,434,723,0.599447514,1367,182,0.133040936,0.186251543,0.144194981,353,106,26,0,0,1
Facebook,1,82,1,402,710,0.565400844,2927,212,0.072404372,0.894462127,0.018353072,57,92,4,1,1,1
Twitter,0,124,0,412,769,0.535064935,1959,211,0.107653061,0.482825861,0.840544835,423,3,60,1,1,1
Instagram,0,174,1,391,718,0.543810848,1065,203,0.19043152,0.115028358,0.971548197,85,185,135,1,1,1
Instagram,0,68,1,412,699,0.588571429,518,188,0.362235067,0.334396178,0.703261993,0,137,96,0,0,1
Instagram,0,46,0,390,692,0.562770563,2455,182,0.074104235,0.476960448,0.412712426,76,62,148,0,1,1
Facebook,1,115,0,430,699,0.614285714,4234,192,0.045336482,0.010144153,0.122010942,448,163,20,1,0,1
Instagram,1,214,1,407,678,0.599410898,3808,186,0.048831714,0.031909876,0.475104851,9,182,50,0,1,1
Facebook,0,29,1,383,669,0.571641791,2590,237,0.091470475,0.055520595,0.457321723,443,56,78,0,1,1
Instagram,1,24,0,409,685,0.596209913,2273,198,0.08707124,0.538135226,0.419876309,68,170,58,1,1,1
Instagram,0,155,0,406,677,0.598820059,2309,206,0.089177489,0.336088196,0.378303581,147,104,1,1,0,1
Facebook,0,225,0,424,723,0.585635359,1103,190,0.172101449,0.893104048,0.49675346,61,64,57,0,0,1
Facebook,1,236,0,377,688,0.547169811,4793,206,0.04297038,0.559233872,0.073180712,12,139,19,0,1,1
Instagram,1,247,0,378,734,0.514285714,811,185,0.227832512,0.759896329,0.038294597,185,61,132,0,1,1
Facebook,0,111,1,416,749,0.554666667,3764,203,0.053917663,0.687133177,0.063960284,164,151,88,0,0,1
Instagram,0,238,1,418,688,0.606676343,4569,180,0.039387309,0.520320727,0.19999848,9,129,137,1,1,1
Facebook,0,24,1,383,735,0.520380435,77,207,2.653846154,0.74472044,0.278070256,258,174,104,0,0,1
Twitter,1,73,1,408,693,0.587896254,2310,208,0.090004327,0.544705703,0.16945762,161,125,111,0,0,1
Twitter,1,205,0,405,746,0.542168675,1026,230,0.223953262,0.385456305,0.251916713,289,183,128,0,1,1
Twitter,1,233,0,401,679,0.589705882,2065,206,0.099709584,0.435804833,0.185837397,413,143,97,1,1,1
Twitter,1,248,0,398,678,0.586156112,4440,235,0.05291601,0.83850134,0.15074326,420,161,13,0,0,1
Twitter,0,237,1,412,678,0.606774669,2742,190,0.069267226,0.563273558,0.292982662,195,145,20,1,1,1
Instagram,0,57,0,386,663,0.581325301,4942,197,0.039854339,0.377296148,0.39751263,33,28,15,1,1,1
Twitter,0,93,0,413,710,0.580872011,4000,191,0.047738065,0.179743152,0.744266775,159,181,63,1,1,1
Twitter,0,118,1,394,649,0.606153846,3229,187,0.057894737,0.495357842,0.955549943,84,50,83,0,0,1
Twitter,0,126,1,383,665,0.575075075,4270,198,0.046359166,0.25240411,0.91896531,57,13,72,0,0,1
Twitter,0,168,1,408,712,0.572230014,3559,219,0.061516854,0.955579878,0.475933783,360,93,59,1,0,1
Facebook,1,24,0,393,692,0.567099567,846,176,0.207792208,0.490982085,0.461345089,407,57,97,0,0,1
Instagram,1,77,0,406,706,0.574257426,693,206,0.296829971,0.008948274,0.125697895,264,162,146,1,0,1
Twitter,0,98,1,394,699,0.562857143,4049,209,0.051604938,0.092877189,0.971740127,296,136,46,1,0,1
Twitter,0,115,1,428,667,0.640718563,1333,177,0.132683658,0.284324492,0.760097797,407,127,46,0,0,1
Twitter,1,47,0,375,645,0.580495356,3038,188,0.061862455,0.092162842,0.847568261,24,36,32,1,0,1
Instagram,1,225,1,423,680,0.621145374,4333,214,0.049377019,0.893962225,0.234163666,35,102,20,1,0,1
Facebook,1,9,0,425,643,0.659937888,1275,199,0.155956113,0.854351567,0.401085984,263,11,94,0,0,1
Instagram,1,98,1,380,688,0.551523948,1245,185,0.14847512,0.970861509,0.102645104,381,84,62,1,1,1
Facebook,0,202,1,411,733,0.559945504,338,197,0.581120944,0.706465614,0.940813105,113,138,41,0,0,1
Twitter,0,10,1,423,702,0.60170697,3295,183,0.055521845,0.645464546,0.285829219,104,26,104,0,0,1
Twitter,0,84,0,422,694,0.607194245,337,224,0.662721893,0.923496638,0.596009762,92,87,125,1,1,1
Instagram,0,148,0,429,673,0.636498516,1868,185,0.098983414,0.946393145,0.152220029,88,170,114,1,0,1
Instagram,0,213,1,441,668,0.659192825,4006,209,0.052158722,0.877487843,0.802796655,442,177,42,0,0,1
Facebook,1,172,0,383,738,0.51826793,495,192,0.387096774,0.861472844,0.186344667,162,97,67,1,1,1
Facebook,0,134,1,398,724,0.548965517,4643,198,0.042635659,0.671703255,0.809384391,37,19,25,0,0,1
Instagram,1,246,1,376,727,0.516483516,3887,198,0.050925926,0.001605947,0.401762548,91,140,107,1,1,1
Facebook,0,208,0,387,746,0.518072289,161,184,1.135802469,0.42951705,0.577757017,118,46,32,0,0,1
Instagram,0,191,0,434,724,0.59862069,2037,201,0.098626104,0.635662771,0.269708781,210,7,48,1,0,1
Facebook,0,125,0,392,706,0.554455446,1742,198,0.113597246,0.54712738,0.882776456,159,196,83,0,1,1
Instagram,0,63,0,402,733,0.547683924,1508,207,0.137176938,0.82112663,0.759868444,100,70,40,1,0,1
Instagram,0,1,1,407,753,0.539787798,3561,223,0.062605278,0.818902277,0.354273964,368,63,35,1,1,1
Instagram,1,75,0,423,709,0.595774648,1376,202,0.146695715,0.598682009,0.585364043,178,43,94,0,0,1
Facebook,1,120,0,438,661,0.66163142,1554,202,0.129903537,0.021994053,0.128988459,283,11,118,0,1,1
Facebook,1,41,1,414,724,0.571034483,2282,182,0.079719667,0.369329952,0.160472291,439,104,149,1,1,1
Facebook,0,209,1,389,661,0.587613293,1869,199,0.106417112,0.228816585,0.533677621,354,3,82,1,0,1
Instagram,0,53,1,415,731,0.566939891,1602,203,0.126637555,0.338788109,0.640598767,391,39,19,1,0,1
Facebook,1,74,1,428,670,0.637853949,3828,214,0.055889266,0.617292655,0.557431714,296,146,86,1,0,1
Facebook,0,15,0,411,716,0.573221757,3481,196,0.056289489,0.066461903,0.559407998,373,181,125,0,1,1
Instagram,0,240,0,376,712,0.527349229,1300,214,0.164488855,0.022242049,0.742290141,22,0,99,1,1,1
Twitter,1,242,1,399,695,0.573275862,711,195,0.273876404,0.436872916,0.902407481,437,118,72,1,0,1
Instagram,0,17,1,389,754,0.515231788,4168,223,0.053490046,0.793573832,0.387597545,487,140,15,0,1,1
Facebook,1,226,0,382,709,0.538028169,2047,206,0.100585938,0.030698575,0.536933295,493,49,26,1,1,1
Instagram,0,244,0,439,750,0.584553928,2882,196,0.067984738,0.849048585,0.893023984,278,180,44,0,1,1
Twitter,1,186,0,406,714,0.567832168,1818,173,0.095107202,0.383879633,0.464278657,31,169,12,1,1,1
Instagram,0,89,0,425,704,0.602836879,2199,212,0.096363636,0.118235429,0.445148957,137,108,1,0,1,1
Facebook,0,143,0,405,738,0.548037889,3333,185,0.055488902,0.567497729,0.766514457,80,152,75,0,0,1
Twitter,1,5,1,397,728,0.544581619,1104,206,0.186425339,0.952360561,0.877301126,418,43,104,1,0,1
Facebook,0,184,1,419,728,0.574759945,3178,199,0.062598301,0.542512899,0.737672252,354,108,96,0,1,1
Twitter,0,107,1,412,732,0.56207367,3595,224,0.062291435,0.686634756,0.100124391,318,97,86,1,0,1
Twitter,1,234,1,425,663,0.640060241,3475,198,0.056962025,0.816421287,0.464770993,194,188,58,0,1,1
Instagram,0,174,0,401,700,0.572039943,4816,196,0.040689226,0.799340122,0.211969623,291,80,13,0,1,1
Instagram,1,238,1,398,663,0.59939759,2178,191,0.087654888,0.073118729,0.317347899,92,148,102,0,0,1
Facebook,0,47,0,398,720,0.552011096,1195,218,0.182274247,0.740995413,0.468754403,432,178,29,1,1,1
Instagram,0,41,0,396,675,0.585798817,4502,207,0.045969354,0.949449566,0.221528668,45,75,109,1,0,1
Instagram,0,75,0,404,683,0.590643275,536,193,0.359404097,0.700652234,0.515933671,26,79,97,0,0,1
Twitter,0,187,0,380,699,0.542857143,1070,190,0.177404295,0.836442894,0.643275882,414,51,8,1,0,1
Instagram,1,76,0,426,691,0.615606936,4370,220,0.050331732,0.485549701,0.874898334,161,62,23,0,0,1
Twitter,0,131,0,411,730,0.562243502,133,198,1.47761194,0.319069326,0.211460618,331,83,111,0,1,1
Twitter,1,230,0,378,695,0.543103448,264,219,0.826415094,0.676239223,0.31056503,100,181,40,1,1,1
Twitter,0,245,1,392,664,0.589473684,4463,200,0.044802867,0.492199978,0.405800481,186,137,31,0,1,1
Facebook,0,129,0,421,718,0.585535466,2053,217,0.105647517,0.895288856,0.22454677,437,86,20,1,1,1
Facebook,0,217,1,430,712,0.603085554,4947,196,0.039611964,0.974381969,0.332040071,472,110,69,0,1,1
Facebook,0,58,1,415,698,0.593705293,4090,210,0.051332193,0.819802068,0.88335052,193,58,110,1,0,1
Twitter,1,154,0,407,674,0.602962963,2848,201,0.070551071,0.992679617,0.138654792,157,7,88,0,1,1
Facebook,1,26,0,400,706,0.565770863,358,201,0.559888579,0.348370598,0.443747594,491,50,1,0,0,1
Facebook,1,78,1,414,709,0.583098592,4421,197,0.044549977,0.895755379,0.310966976,456,132,55,0,1,1
Instagram,1,71,1,447,728,0.613168724,751,218,0.289893617,0.329933629,0.077164722,406,75,14,0,1,1
Facebook,0,6,1,406,693,0.585014409,3251,198,0.060885609,0.118038075,0.096125329,8,169,17,0,0,1
Facebook,1,190,1,407,740,0.54925776,4352,208,0.047783138,0.621373695,0.784879912,211,77,31,1,1,1
Twitter,1,110,0,413,744,0.554362416,2259,206,0.091150442,0.454988634,0.852333019,438,123,13,1,1,1
Twitter,0,118,0,424,691,0.612716763,911,197,0.216008772,0.921699233,0.741407601,384,11,51,0,0,1
Twitter,0,173,0,391,697,0.56017192,3811,236,0.061909759,0.492193888,0.539229054,311,23,21,0,0,1
Twitter,0,62,1,400,681,0.586510264,584,200,0.341880342,0.927632579,0.772659465,166,44,13,1,1,1
Twitter,0,231,0,403,667,0.603293413,3439,190,0.055232558,0.078633867,0.152015758,342,52,33,1,1,1
Twitter,1,123,1,394,683,0.576023392,577,191,0.330449827,0.830511836,0.780201601,273,180,85,0,0,1
Facebook,1,11,0,395,661,0.596676737,2577,207,0.080294802,0.759114268,0.423475219,297,144,55,0,1,1
Twitter,0,140,1,359,739,0.485135135,1872,191,0.10197544,0.719978273,0.750315534,479,192,62,0,0,1
Twitter,0,42,0,392,719,0.544444444,1153,214,0.185441941,0.355135855,0.227749394,110,117,143,0,0,1
Instagram,0,16,0,409,695,0.587643678,4991,204,0.040865385,0.783759636,0.832543421,328,185,79,0,1,1
Facebook,1,62,1,416,706,0.588401697,1784,215,0.120448179,0.483296579,0.568116546,202,36,39,0,0,1
Facebook,1,208,1,399,746,0.534136546,1094,190,0.173515982,0.715203511,0.00733751,247,74,37,1,1,1
Facebook,0,119,1,387,714,0.541258741,2100,201,0.095668729,0.552227147,0.519267168,64,169,145,0,1,1
Twitter,0,35,1,429,708,0.605077574,4533,197,0.043449493,0.157439705,0.310279479,202,197,22,0,0,1
Twitter,1,212,1,398,737,0.539295393,2142,209,0.097526832,0.06455859,0.057501862,160,78,109,1,1,1
Twitter,0,7,0,358,699,0.511428571,2134,186,0.087119438,0.366186651,0.447309589,413,167,47,1,1,1
Instagram,0,68,1,398,732,0.542974079,518,188,0.362235067,0.932788823,0.311470155,132,22,81,1,1,1
